Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Observations
PEREZ;Alejandro;;12/12/1987;Espagnole;;01/07/2015;;CDI;Employé;Chargé de clientèle;Temps plein;2 700;D;SEXE NON RENSEIGNÉ
KOWALSKI;Ewa;F;;Polonaise;;15/09/2016;;CDI;Employé;Gestionnaire de flux;Temps plein;2 655;C;DATE DE NAISSANCE ABSENTE — non classable par tranche d’âge
BENSAÏD;Nadia;F;05/05/1983;Marocaine;Titre de séjour;01/09/2010;;CDI;;Chargée de conformité;Temps plein;3 450;G;STATUT ABSENT — collège et catégorie à renseigner
THIBAULT;Marc;H;14/07/1974;Française;;;;CDI;Cadre;Contrôleur permanent;Temps plein;4 300;H;DATE D’ENTRÉE ABSENTE
GARNIER;Hélène;F;02/02/1980;Française;;01/03/2012;;CDI;Cadre;Responsable juridique;Temps plein;;J;SALAIRE ABSENT — l’index ne doit pas la compter à zéro
MOREAU;Camille;F;08/08/1988;Française;;01/09/2014;;CDI;Employé;Conseillère clientèle;80 %;2 120;D;TEMPS PARTIEL 80 % — montant à reconstituer en ETP
BRUNET;Sophie;F;19/03/1979;Française;;01/04/2009;;CDI;TAM;Analyste crédit;50 %;1 780;F;TEMPS PARTIEL 50 %
CHEVALIER;Pascal;H;27/10/1972;Française;;01/02/2005;;CDI;Cadre;Chargé d’affaires entreprises;60 %;3 240;H;TEMPS PARTIEL 60 % — un cadre, cas rare et discriminant
LOPES;Ana;F;11/11/1993;Portugaise;;01/06/2019;;CDI;Employé;Chargée d’accueil;0,4;1 060;B;Quotité écrite en fraction décimale
ADAM;Béatrice;F;01/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;4 100;H;Groupe cadres 40-49 — écart volontaire
BOYER;Christine;F;02/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;4 050;H;Groupe cadres 40-49 — écart volontaire
CARON;Delphine;F;03/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;4 180;H;Groupe cadres 40-49 — écart volontaire
DUMAS;Élodie;F;04/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;3 990;H;Groupe cadres 40-49 — écart volontaire
ETIENNE;Bruno;H;05/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;5 300;H;Groupe cadres 40-49 — écart volontaire
FABRE;Cyril;H;06/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;5 450;H;Groupe cadres 40-49 — écart volontaire
GAUTHIER;Denis;H;07/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;5 210;H;Groupe cadres 40-49 — écart volontaire
HUBERT;Émile;H;08/06/1980;Française;;01/09/2010;;CDI;Cadre;Chargé(e) d’affaires;Temps plein;5 380;H;Groupe cadres 40-49 — écart volontaire
IMBERT;Julie;F;01/04/1999;Française;;01/03/2022;;CDI;Employé;Conseiller(ère) clientèle;Temps plein;2 950;D;Groupe employés −30 — femmes mieux rémunérées
JOUBERT;Karine;F;02/04/1999;Française;;01/03/2022;;CDI;Employé;Conseiller(ère) clientèle;Temps plein;3 010;D;Groupe employés −30 — femmes mieux rémunérées
KLEIN;Laure;F;03/04/1999;Française;;01/03/2022;;CDI;Employé;Conseiller(ère) clientèle;Temps plein;2 980;D;Groupe employés −30 — femmes mieux rémunérées
LEROY;Mathieu;H;04/04/1999;Française;;01/03/2022;;CDI;Employé;Conseiller(ère) clientèle;Temps plein;2 520;D;Groupe employés −30 — femmes mieux rémunérées
MERCIER;Nicolas;H;05/04/1999;Française;;01/03/2022;;CDI;Employé;Conseiller(ère) clientèle;Temps plein;2 480;D;Groupe employés −30 — femmes mieux rémunérées
NOEL;Olivier;H;06/04/1999;Française;;01/03/2022;;CDI;Employé;Conseiller(ère) clientèle;Temps plein;2 540;D;Groupe employés −30 — femmes mieux rémunérées
OLIVIER;Prune;F;01/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 200;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
PICARD;Quitterie;F;02/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 210;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
QUENTIN;Raphaël;H;03/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 220;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
RENARD;Simon;H;04/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 230;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
SAUVAGE;Thomas;H;05/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 240;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
TESSIER;Ulysse;H;06/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 250;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
VIDAL;Victor;H;07/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 260;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
WEBER;William;H;08/01/1970;Française;;01/09/2000;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3 270;F;Groupe TAM 50+ — DEUX femmes seulement : groupe non valide
AUBERT;Fanny;F;15/05/1996;Française;;02/01/2025;31/12/2025;CDD remplacement;Employé;Remplacement congé maternité;Temps plein;2 560;C;CDD de remplacement sur toute la période — compte dans l’index
COLIN;Hugo;H;21/07/1998;Française;;01/06/2025;30/09/2025;CDD accroissement;Employé;Renfort saisonnier;Temps plein;2 300;B;CDD de quatre mois — moins de six mois, écarté de l’index
ARNAUD;Véronique;F;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directrice générale;Temps plein;9 800;K;Comité de direction — dix plus hautes rémunérations
BLANC;Jean-Michel;H;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directeur des opérations;Temps plein;8 900;K;Comité de direction — dix plus hautes rémunérations
CHARPENTIER;Ludovic;H;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directeur commercial;Temps plein;8 400;K;Comité de direction — dix plus hautes rémunérations
DELAUNAY;Sabine;F;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directrice des ressources humaines;Temps plein;8 150;K;Comité de direction — dix plus hautes rémunérations
FAURE;Antoine;H;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directeur financier;Temps plein;7 950;K;Comité de direction — dix plus hautes rémunérations
GIRARD;Patrick;H;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directeur de la conformité;Temps plein;7 600;K;Comité de direction — dix plus hautes rémunérations
HENRY;Serge;H;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directeur informatique;Temps plein;7 400;K;Comité de direction — dix plus hautes rémunérations
ISNARD;Michel;H;01/01/1970;Française;;01/01/2000;;CDI;Cadre;Directeur du réseau;Temps plein;7 250;K;Comité de direction — dix plus hautes rémunérations
ALBERT;Amélie;F;04/06/1979;Française;;12/08/2002;;CDI;Cadre;Chargé(e) d’affaires entreprises;Temps plein;5668,19;I;
ANDRE;Anaïs;F;07/11/1996;Française;;23/03/2020;;CDI;TAM;Superviseur(e) back-office;Temps plein;3251,22;G;
ANTOINE;Aurélie;F;10/04/1971;Française;;06/10/1996;;CDI;TAM;Responsable d’unité;Temps plein;4182,10;E;
ARNOULD;Camille;F;13/09/1988;Française;;17/05/2014;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;2674,67;A;
BARBIER;Carole;F;16/02/1963;Française;;28/12/1990;;CDI;Employé;Assistant(e) commercial(e);Temps plein;3385,52;B;
BARON;Céline;F;19/07/1980;Française;;11/07/2008;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;2917,14;C;
BAUDRY;Charlotte;F;22/12/1997;Française;;22/02/2024;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;2504,90;D;
BECHET;Chloé;F;25/05/1972;Française;;05/09/2002;;CDI;Cadre;Analyste financier(ère) senior;Temps plein;5927,19;H;
BENOIT;Damien;H;28/10/1989;Française;;16/04/2011;;CDI;Cadre;Directeur(rice) d’agence;Temps plein;5729,00;I;
BERGER;David;H;03/03/1964;Française;;27/11/1988;;CDI;TAM;Responsable d’unité;Temps plein;4952,00;F;
BERNARD;Dylan;H;06/08/1981;Française;;10/06/2005;;CDI;TAM;Chargé(e) d’études;Temps plein;3926,00;G;
BERTIN;Emmanuel;H;09/01/1998;Française;;21/01/2023;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;2432,20;A;
BESSON;Étienne;H;12/06/1973;Française;;04/08/1999;;CDI;Employé;Assistant(e) commercial(e);Temps plein;3174,80;B;
BIGOT;Fabien;H;15/11/1990;Française;;15/03/2017;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;2682,60;C;
BLANCHARD;Fanny;F;18/04/1965;Française;;26/10/1993;;CDI;Employé;Chargé(e) de recouvrement amiable;Temps plein;3271,29;D;
BOCHER;Florence;F;21/09/1982;Française;;09/05/2011;;CDI;Cadre;Responsable de projet;Temps plein;5338,43;H;
BODIN;Gaëlle;F;24/02/1999;Française;;20/12/2024;;CDI;Cadre;Analyste financier(ère) senior;Temps plein;4675,22;I;
BOIVIN;Hélène;F;27/07/1974;Française;;03/07/1996;;CDI;TAM;Chargé(e) d’études;Temps plein;4337,10;E;
BONNET;Inès;F;02/12/1991;Française;;14/02/2014;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;3703,69;F;
BOSC;Isabelle;F;05/05/1966;Française;;25/09/1990;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;3540,52;A;
BOUCHER;Jeanne;F;08/10/1983;Française;;08/04/2008;;CDI;Employé;Assistant(e) commercial(e);Temps plein;3072,14;B;
BOUDET;Julie;F;11/03/2000;Portugaise;;19/11/2024;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;2259,90;C;
BOULANGER;Julien;H;14/08/1975;Espagnole;;02/06/2002;;CDI;Employé;Chargé(e) de recouvrement amiable;60 %;3056,60;D;
BOURGEOIS;Kévin;H;17/01/1992;Italienne;;13/01/2020;;CDI;Cadre;Juriste bancaire;Temps plein;4976,40;H;
BOUVIER;Laurent;H;20/06/1967;Marocaine;Carte de séjour pluriannuelle;24/08/1996;;CDI;TAM;Chargé(e) d’études;Temps plein;4395,00;F;
BRIAND;Loïc;H;23/11/1984;Algérienne;Carte de séjour pluriannuelle;07/03/2014;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;3730,00;G;
BRUN;Lucas;H;26/04/2001;Tunisienne;Carte de résident;18/10/2023;;CDI;Ouvrier;Agent de maintenance;Temps plein;2276,40;B;
CAILLE;Ludovic;H;01/09/1976;Roumaine;;01/05/1999;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;3329,80;A;
CAMUS;Manon;F;04/02/1993;Allemande;;12/12/2017;;CDI;Employé;Assistant(e) commercial(e);Temps plein;2715,44;B;
CARPENTIER;Margaux;F;07/07/1968;Belge;;23/07/1993;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;3426,29;C;
CHAPUIS;Marie;F;10/12/1985;Sénégalaise;Carte de séjour pluriannuelle;06/02/2011;;CDD accroissement;Cadre;Auditeur(rice) interne;Temps plein;5493,43;K;
CHARLES;Marion;F;13/05/2002;Ivoirienne;Carte de séjour pluriannuelle;17/09/2024;;CDI;Cadre;Contrôleur(se) des risques;Temps plein;4830,22;H;
CHARRIER;Mathilde;F;16/10/1977;Comorienne;Carte de résident;28/04/2005;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;3756,89;E;
CHAUVIN;Maud;F;19/03/1994;Française;;11/11/2023;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;3123,48;F;
CLEMENT;Mélanie;F;22/08/1969;Française;;22/06/1999;;CDI;Employé;Gestionnaire back-office;Temps plein;3042,83;D;
COLLET;Nathalie;F;25/01/1986;Française;;05/01/2008;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;2827,14;A;
COMBE;Rémi;H;28/06/2003;Française;;16/08/2024;;CDI;Employé;Assistant(e) commercial(e);Temps plein;2527,80;B;
CORDIER;Romain;H;03/11/1978;Française;;27/03/2002;;CDI;Employé;Opérateur(rice) de saisie;Temps plein;3211,60;C;
COSTE;Samuel;H;06/04/1995;Française;;10/10/2020;;CDI;Cadre;Responsable conformité;Temps plein;5131,40;K;
COURTOIS;Sébastien;H;09/09/1970;Française;;21/05/1996;;CDI;Cadre;Auditeur(rice) interne;Temps plein;6522,00;H;
COUSIN;Stéphane;H;12/02/1987;Française;;04/12/2014;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;3885,00;G;
CROS;Théo;H;15/07/1962;Française;;15/07/1990;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;4858,00;E;
DALLE;Sylvie;F;18/12/1979;Française;;26/02/2008;;CDI;Employé;Gestionnaire back-office;Temps plein;3086,14;D;
DAMBRE;Valérie;F;21/05/1996;Française;;09/09/2024;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;2273,90;A;
DANIEL;Vanessa;F;24/10/1971;Française;;20/04/1993;;CDI;Employé;Assistant(e) commercial(e);Temps plein;3181,29;B;
DAVID;Virginie;F;27/03/1988;Française;;03/11/2011;;CDI;Employé;Opérateur(rice) de saisie;90 %;2712,90;C;
DEBRAY;Zoé;F;02/08/1963;Française;;14/06/1988;;CDI;Cadre;Ingénieur patrimonial;Temps plein;6524,26;K;
DELACROIX;Alice;F;05/01/1980;Française;;25/01/2005;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;3911,89;E;
DELMAS;Amélie;F;08/06/1997;Française;;08/08/2023;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3278,48;F;
DENIS;Anaïs;F;11/11/1972;Française;;19/03/1999;;CDI;Ouvrier;Agent logistique;Temps plein;2818,50;A;
DESCHAMPS;Aurélie;F;14/04/1989;Française;;02/10/2017;;CDI;Employé;Gestionnaire back-office;Temps plein;2729,44;D;
DEVAUX;Bertrand;H;17/09/1964;Française;;13/05/1993;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;3594,20;A;
DIDIER;Cédric;H;20/02/1981;Française;;24/12/2011;;CDI;Employé;Assistant(e) commercial(e);Temps plein;3102,00;B;
DOMINGUEZ;Christophe;H;23/07/1998;Française;;07/07/2020;;CDI;Cadre;Directeur(rice) d’agence;Temps plein;5286,40;J;
DUBOIS;Clément;H;26/12/1973;Française;;18/02/1996;;CDI;Cadre;Chargé(e) d’affaires entreprises;Temps plein;6277,00;K;
DUCHENE;Damien;H;01/05/1990;Portugaise;;01/09/2014;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;3640,00;G;
DUFOUR;David;H;04/10/1965;Espagnole;;12/04/1990;;CDI;TAM;Analyste crédit;Temps plein;4613,00;E;
DUHAMEL;Corinne;F;07/03/1982;Italienne;;23/11/2008;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2841,14;C;
DUPUIS;Élisa;F;10/08/1999;Marocaine;Carte de séjour pluriannuelle;06/06/2024;;CDI;Employé;Gestionnaire back-office;Temps plein;2428,90;D;
DUVAL;Émilie;F;13/01/1974;Algérienne;Carte de résident;17/01/2002;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;3083,60;A;
ETIENNE;Émma;F;16/06/1991;Tunisienne;Carte de séjour pluriannuelle;28/08/2020;;CDI;Employé;Assistant(e) commercial(e);Temps plein;2615,21;B;
EVRARD;Estelle;F;19/11/1966;Roumaine;;11/03/1996;;CDD accroissement;Cadre;Analyste financier(ère) senior;Temps plein;6248,36;J;
FAIVRE;Fanny;F;22/04/1983;Allemande;;22/10/2005;;CDI;Cadre;Directeur(rice) d’agence;Temps plein;5800,60;K;
FERNANDEZ;Florence;F;25/09/2000;Belge;;05/05/2023;;CDI;TAM;Analyste crédit;Temps plein;3433,48;F;
FERRAND;Gaëlle;F;28/02/1975;Sénégalaise;Carte de séjour pluriannuelle;16/12/1999;;CDI;TAM;Superviseur(e) back-office;Temps plein;3964,36;G;
FLEURY;Grégory;H;03/07/1992;Ivoirienne;Carte de résident;27/07/2017;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2606,60;C;
FONTAINE;Guillaume;H;06/12/1967;Comorienne;Carte de séjour pluriannuelle;10/02/1993;;CDI;Employé;Gestionnaire back-office;Temps plein;3349,20;D;
FOUCHER;Hugo;H;09/05/1984;Française;;21/09/2011;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;2857,00;A;
FRANCOIS;Jérôme;H;12/10/2001;Française;;04/04/2024;;CDI;Employé;Assistant(e) commercial(e);50 %;2511,80;B;
GABORIT;Julien;H;15/03/1976;Française;;15/11/2005;;CDI;Cadre;Responsable de projet;Temps plein;5924,40;J;
GAILLARD;Kévin;H;18/08/1993;Française;;26/06/2023;;CDI;TAM;Analyste crédit;Temps plein;3444,00;G;
GALLET;Laetitia;F;21/01/1968;Française;;09/01/1990;;CDI;TAM;Superviseur(e) back-office;Temps plein;4558,57;E;
GARCIA;Laure;F;24/06/1985;Française;;20/08/2008;;CDI;Ouvrier;Agent de sécurité;Temps plein;2647,75;B;
GAUDIN;Léa;F;27/11/2002;Française;;03/03/2024;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2583,90;C;
GAY;Louise;F;02/04/1977;Française;;14/10/2002;;CDI;Employé;Gestionnaire back-office;Temps plein;3238,60;D;
GENDRON;Lucie;F;05/09/1994;Française;;25/05/2020;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;2370,21;A;
GERARD;Manon;F;08/02/1969;Française;;08/12/1996;;CDI;Cadre;Contrôleur(se) des risques;Temps plein;6003,36;I;
GILBERT;Margaux;F;11/07/1986;Française;;19/07/2014;;CDI;Cadre;Juriste bancaire;Temps plein;5070,84;J;
GODARD;Marie;F;14/12/2003;Française;;02/02/2024;;CDI;TAM;Superviseur(e) back-office;Temps plein;3151,24;F;
GOMEZ;Olivier;H;17/05/1978;Française;;13/09/2008;;CDI;TAM;Responsable d’unité;Temps plein;3962,00;G;
GONZALEZ;Pierre;H;20/10/1995;Française;;24/04/2017;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;2761,60;B;
GOSSELIN;Quentin;H;23/03/1970;Française;;07/11/1993;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;3504,20;C;
GRENIER;Raphaël;H;26/08/1987;Française;;18/06/2011;;CDI;Employé;Gestionnaire back-office;Temps plein;3012,00;D;
GUERIN;Rémi;H;01/01/1962;Française;;01/01/1988;;CDI;Employé;Gestionnaire des moyens de paiement;Temps plein;3725,20;A;
GUILLOT;Romain;H;04/06/1979;Française;;12/08/2005;;CDI;Cadre;Auditeur(rice) interne;Temps plein;6079,40;I;
HAMON;Océane;F;07/11/1996;Française;;23/03/2023;;CDI;Cadre;Contrôleur(se) des risques;Temps plein;4882,09;J;
HERVE;Pauline;F;10/04/1971;Française;;06/10/1999;;CDI;TAM;Responsable d’unité;Temps plein;3978,36;E;
HOARAU;Sarah;F;13/09/1988;Française;;17/05/2017;;CDI;TAM;Chargé(e) d’études;Temps plein;3344,96;F;
HUET;Sonia;F;16/02/1963;Française;;28/12/1993;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;3209,29;B;
HUGUET;Stéphanie;F;19/07/1980;Portugaise;;11/07/2002;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2993,60;C;
IMBERT;Sylvie;F;22/12/1997;Espagnole;;22/02/2020;;CDI;Employé;Gestionnaire back-office;Temps plein;2525,21;D;
JACOB;Valérie;F;25/05/1972;Italienne;;05/09/1996;;CDI;Employé;Gestionnaire des moyens de paiement;80 %;3236,06;A;
JACQUET;Vanessa;F;28/10/1989;Marocaine;Carte de résident;16/04/2014;;CDD accroissement;Cadre;Responsable conformité;Temps plein;5225,84;I;
JEAN;Alexandre;H;03/03/1964;Algérienne;Carte de séjour pluriannuelle;27/11/1990;;CDI;TAM;Responsable d’unité;Temps plein;4782,00;F;
JOLY;Antoine;H;06/08/1981;Tunisienne;Carte de séjour pluriannuelle;10/06/2008;;CDI;TAM;Chargé(e) d’études;Temps plein;4117,00;G;
JOURDAN;Arnaud;H;09/01/1998;Roumaine;;21/01/2024;;CDI;Ouvrier;Agent de maintenance;Temps plein;2403,60;A;
JULIEN;Baptiste;H;12/06/1973;Allemande;;04/08/2002;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;3394,60;B;
LACROIX;Benjamin;H;15/11/1990;Belge;;15/03/2020;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2502,40;C;
LAGARDE;Bertrand;H;18/04/1965;Sénégalaise;Carte de résident;26/10/1988;;CDI;Employé;Gestionnaire back-office;Temps plein;3480,20;D;
LAINE;Camille;F;21/09/1982;Ivoirienne;Carte de séjour pluriannuelle;09/05/2005;;CDI;Cadre;Chargé(e) d’affaires entreprises;Temps plein;5569,60;H;
LALLEMAND;Carole;F;24/02/1999;Comorienne;Carte de séjour pluriannuelle;20/12/2023;;CDI;Cadre;Ingénieur patrimonial;Temps plein;4637,09;I;
LANGLOIS;Céline;F;27/07/1974;Française;;03/07/1999;;CDI;TAM;Chargé(e) d’études;Temps plein;4133,36;E;
LAPORTE;Charlotte;F;02/12/1991;Française;;14/02/2017;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;3499,96;F;
LAUNAY;Chloé;F;05/05/1966;Française;;25/09/1993;;CDI;Employé;Chargé(e) d’accueil;Temps plein;3364,29;A;
LAURENT;Claire;F;08/10/1983;Française;;08/04/2011;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;2895,90;B;
LEBLANC;Corinne;F;11/03/2000;Française;;19/11/2024;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2567,90;C;
LECLERC;Élisa;F;14/08/1975;Française;;02/06/2005;;CDI;Employé;Gestionnaire back-office;Temps plein;3138,37;D;
LEFEVRE;Émilie;F;17/01/1992;Française;;13/01/2014;;CDI;Cadre;Directeur(rice) d’agence;Temps plein;5380,84;H;
LEGRAND;Florian;H;20/06/1967;Française;;24/08/1990;;CDI;Cadre;Chargé(e) d’affaires entreprises;Temps plein;6613,40;I;
LEMAIRE;François;H;23/11/1984;Française;;07/03/2008;;CDI;TAM;Contrôleur(se) de premier niveau;Temps plein;3872,00;G;
LEMOINE;Frédéric;H;26/04/2001;Française;;18/10/2024;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;3285,00;E;
LENOIR;Gaël;H;01/09/1976;Française;;01/05/2002;;CDI;Employé;Chargé(e) d’accueil;Temps plein;3149,60;A;
LEROUX;Grégory;H;04/02/1993;Française;;12/12/2020;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;2657,40;B;
LESAGE;Guillaume;H;07/07/1968;Française;;23/07/1996;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;3400,00;C;
LEVEQUE;Inès;F;10/12/1985;Française;;06/02/2014;;CDI;Employé;Gestionnaire back-office;60 %;2781,67;D;
LOISEAU;Isabelle;F;13/05/2002;Française;;17/09/2024;;CDI;Cadre;Analyste financier(ère) senior;Temps plein;4738,22;H;
LUCAS;Jeanne;F;16/10/1977;Française;;28/04/1999;;CDI;Cadre;Directeur(rice) d’agence;Temps plein;6121,77;I;
MAILLARD;Julie;F;19/03/1994;Française;;11/11/2017;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;3654,96;F;
MALLET;Justine;F;22/08/1969;Française;;22/06/1993;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;4185,84;G;
MARCHAL;Laetitia;F;25/01/1986;Française;;05/01/2011;;CDI;Employé;Chargé(e) d’accueil;Temps plein;2650,90;A;
MARTINEZ;Laure;F;28/06/2003;Française;;16/08/2024;;CDI;Employé;Conseiller(ère) clientèle particuliers;Temps plein;2322,90;B;
MASSON;Léa;F;03/11/1978;Française;;27/03/2005;;CDI;Employé;Conseiller(ère) clientèle professionnels;Temps plein;2893,37;C;
MATHIEU;Marc;H;06/04/1995;Française;;10/10/2023;;CDI;Employé;Gestionnaire back-office;Temps plein;2539,20;D;
MAURY;Mathieu;H;09/09/1970;Portugaise;;21/05/1999;;CDD accroissement;Cadre;Responsable de projet;Temps plein;6260,80;H;
MENARD;Maxime;H;12/02/1987;Espagnole;;04/12/2017;;CDI;TAM;Animateur(rice) commercial(e);Temps plein;3676,00;G;
MEUNIER;Nicolas;H;15/07/1962;Italienne;;15/07/1988;;CDI;TAM;Technicien(ne) des métiers de la banque;Temps plein;4844,00;E;
MICHAUD;Olivier;H;18/12/1979;Marocaine;Carte de séjour pluriannuelle;26/02/2002;;CDI;Ouvrier;Agent de sécurité;Temps plein;2918,20;B;
