EXTRACTION PAIE — Établissement principal et agences
Éditée le 07/08/2026 par le service des ressources humaines

Matricule;Établissement;Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Service;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Observations
M01050;Siège;URVOY;Katia;F;03/05/1978;Française;;01/09/2005;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 420;F;Groupe TAM 40-49 — trois et trois, le seuil exactement
M01051;Siège;VANNIER;Léon;H;04/05/1978;Française;;01/09/2005;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 450;F;Groupe TAM 40-49 — trois et trois, le seuil exactement
M01052;Siège;WEISS;Marcel;H;05/05/1978;Française;;01/09/2005;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 470;F;Groupe TAM 40-49 — trois et trois, le seuil exactement
M01053;Siège;YAHIAOUI;Nabil;H;06/05/1978;Française;;01/09/2005;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 440;F;Groupe TAM 40-49 — trois et trois, le seuil exactement
M01054;Siège;ZUCCARELLI;Béatrice;F;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directrice générale;Forfait jours;10 400;K;Comité de direction
M01055;Siège;ANGLADE;Hervé;H;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directeur général adjoint;Forfait jours;9 200;K;Comité de direction
M01056;Siège;BONNAFÉ;Xavier;H;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directeur des risques;Forfait jours;8 850;K;Comité de direction
M01057;Siège;CHASSAGNE;Muriel;F;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directrice des ressources humaines;Forfait jours;8 600;K;Comité de direction
M01058;Siège;DUTHEIL;Grégoire;H;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directeur financier;Forfait jours;8 400;K;Comité de direction
M01059;Siège;ESCANDE;Robert;H;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directeur de la conformité;Forfait jours;8 150;K;Comité de direction
M01060;Siège;FONTANEL;Yves;H;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directeur des systèmes d’information;Forfait jours;7 900;K;Comité de direction
M01061;Siège;GRANIER;Denis;H;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directeur du réseau;Forfait jours;7 700;K;Comité de direction
M01062;Siège;HOUDART;Léon;H;01/01/1968;Française;;01/01/1998;;CDI;Cadre dirigeant;Réseau;Directeur juridique;Forfait jours;7 500;K;Comité de direction
M01063;Agence Nord;AMIOT;Agathe;F;04/06/1978;Française;;12/08/2001;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;5709,53;I;
M01064;Agence Sud;ANDRIEU;Alexia;F;07/11/1995;Française;;23/03/2019;;CDI;Agent de maîtrise;Crédit;Superviseur(e) back-office;Temps plein;3399,37;F;
M01065;Agence Est;ARCHAMBAULT;Alix;F;10/04/1969;Française;;06/10/1994;;CDI;Technicien;Conformité;Technicien(ne) des métiers de la banque;Temps plein;4045,88;F;
M01066;Agence Ouest;AUBIN;Ambre;F;13/09/1986;Française;;17/05/2012;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2713,61;A;
M01067;Centre de services;AUDIBERT;Ana;F;16/02/2003;Française;;28/12/2024;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2443,53;B;
M01068;Siège;BACHELET;Anouk;F;19/07/1977;Française;;11/07/2005;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2977,07;C;
M01069;Agence Nord;BALLAND;Ariane;F;22/12/1994;Française;;22/02/2023;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2551,45;D;
M01070;Agence Sud;BARDIN;Astrid;F;25/05/1968;Française;;05/09/1998;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;6147,65;H;
M01071;Agence Est;BASTIDE;Aubin;H;28/10/1985;Française;;16/04/2016;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;5504,80;I;
M01072;Agence Ouest;BAZIN;Augustin;H;03/03/2002;Française;;27/11/2024;;CDI;Agent de maîtrise;Crédit;Animateur(rice) commercial(e);Temps plein;3694,36;F;
M01073;Centre de services;BEAUMONT;Basile;H;06/08/1976;Française;;10/06/1998;;CDI;Technicien;Conformité;Contrôleur(se) de premier niveau;Temps plein;4414,28;F;
M01074;Siège;BELLANGER;Benoît;H;09/01/1993;Française;;21/01/2016;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2592,60;A;
M01075;Agence Nord;BENARD;Bruno;H;12/06/1967;Française;;04/08/1991;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3310,10;B;
M01076;Agence Sud;BERTHIER;Casimir;H;15/11/1984;Française;;15/03/2009;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2864,02;C;
M01077;Agence Est;BESNARD;Charlène;F;18/04/2001;Française;;26/10/2024;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2393,53;D;
M01078;Agence Ouest;BIDAULT;Clémence;F;21/09/1975;Française;;09/05/2002;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;5814,16;H;
M01079;Centre de services;BLANCHET;Constance;F;24/02/1992;Française;;20/12/2020;;CDI;Agent de maîtrise;Back-office;Superviseur(e) back-office;Temps plein;3518,75;G;
M01080;Siège;BLONDEL;Cyrielle;F;27/07/1966;Française;;03/07/1995;;CDI;Technicien;Crédit;Technicien(ne) des métiers de la banque;Temps plein;4167,58;E;
M01081;Agence Nord;BOCQUET;Diane;F;02/12/1983;Française;;14/02/2013;;CDI;Technicien;Conformité;Chargé(e) d’études;70 %;3609,18;F;
M01082;Agence Sud;BOISSIER;Dorothée;F;05/05/2000;Portugaise;;25/09/2024;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2598,53;A;
M01083;Agence Est;BONNEAU;Edwige;F;08/10/1974;Espagnole;;08/04/2006;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3106,15;B;
M01084;Agence Ouest;BORDES;Éléonore;F;11/03/1991;Italienne;;19/11/2013;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2965,69;C;
M01085;Centre de services;BOSSARD;Erwan;H;14/08/1965;Marocaine;Carte de séjour pluriannuelle;02/06/1988;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3341,28;D;
M01086;Siège;BOUCHET;Eudes;H;17/01/1982;Algérienne;Carte de résident;13/01/2006;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;5725,60;H;
M01087;Agence Nord;BOULAY;Fabrice;H;20/06/1999;Tunisienne;Carte de séjour pluriannuelle;24/08/2024;;CDI;Agent de maîtrise;Back-office;Animateur(rice) commercial(e);Temps plein;3389,36;G;
M01088;Agence Sud;BOURDIN;Firmin;H;23/11/1973;Roumaine;;07/03/1999;;CDI;Technicien;Crédit;Contrôleur(se) de premier niveau;Temps plein;4074,52;E;
M01089;Agence Est;BOUSSARD;Florent;H;26/04/1990;Allemande;;18/10/2017;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2720,54;D;
M01090;Agence Ouest;BOUVET;Gabin;H;01/09/1964;Belge;;01/05/1992;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;3438,04;A;
M01091;Centre de services;BRACONNIER;Garance;F;04/02/1981;Sénégalaise;Carte de séjour pluriannuelle;12/12/2010;;CDD accroissement;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2870,46;B;
M01092;Siège;BREBION;Hortense;F;07/07/1998;Ivoirienne;Carte de résident;23/07/2024;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;2548,53;C;
M01093;Agence Nord;BRIAULT;Iris;F;10/12/1972;Comorienne;Carte de séjour pluriannuelle;06/02/2003;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;5918,79;K;
M01094;Agence Sud;BRISSON;Jade;F;13/05/1989;Malienne;Carte de séjour pluriannuelle;17/09/2021;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;5053,10;H;
M01095;Agence Est;BRUNEAU;Joséphine;F;16/10/1963;Turque;Carte de résident;28/04/1987;;CDI;Agent de maîtrise;Back-office;Responsable d’unité;Temps plein;4890,16;G;
M01096;Agence Ouest;BUISSON;Juliette;F;19/03/1980;Polonaise;;11/11/2003;;CDI;Technicien;Crédit;Chargé(e) d’études;Temps plein;3637,18;E;
M01097;Centre de services;CADIOU;Léonie;F;22/08/1997;Française;;22/06/2021;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2371,30;D;
M01098;Siège;CAILLAUD;Léopoldine;F;25/01/1971;Française;;05/01/1996;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;3060,38;A;
M01099;Agence Nord;CALMELS;Jocelyn;H;28/06/1988;Française;;16/08/2014;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2751,72;B;
M01100;Agence Sud;CAMPION;Joachim;H;03/11/1962;Française;;27/03/1989;;CDI;Employé;Juridique;Assistant(e) commercial(e);60 %;3469,22;C;
M01101;Agence Est;CANTIN;Joris;H;06/04/1979;Française;;10/10/2007;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;5828,02;K;
M01102;Agence Ouest;CAPRON;Justin;H;09/09/1996;Française;;21/05/2024;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;4975,16;H;
M01103;Centre de services;CARDON;Kilian;H;12/02/1970;Française;;04/12/2000;;CDI;Agent de maîtrise;Back-office;Superviseur(e) back-office;Temps plein;4477,68;G;
M01104;Siège;CARRERE;Lancelot;H;15/07/1987;Française;;15/07/2018;;CDI;Technicien;Crédit;Technicien(ne) des métiers de la banque;Temps plein;3610,08;E;
M01105;Agence Nord;CASSAGNE;Mélissa;F;18/12/1961;Française;;26/02/1993;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3425,15;D;
M01106;Agence Sud;CASTELLI;Morgane;F;21/05/1978;Française;;09/09/2000;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;3284,69;A;
M01107;Agence Est;CAUCHY;Nolwenn;F;24/10/1995;Française;;20/04/2018;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2399,07;B;
M01108;Agence Ouest;CAVAILLE;Ondine;F;27/03/1969;Française;;03/11/1993;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;3088,15;C;
M01109;Centre de services;CHABERT;Perrine;F;02/08/1986;Française;;14/06/2011;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;5251,81;K;
M01110;Siège;CHAILLOT;Prisca;F;05/01/2003;Française;;25/01/2024;;CDI;Agent de maîtrise;Réseau;Responsable d’unité;Temps plein;3267,28;F;
M01111;Agence Nord;CHAMBON;Rachel;F;08/06/1977;Française;;08/08/2004;;CDI;Technicien;Back-office;Chargé(e) d’études;Temps plein;3758,88;F;
M01112;Agence Sud;CHAPELLE;Roxane;F;11/11/1994;Française;;19/03/2022;;CDI;Ouvrier;Crédit;Agent logistique;Temps plein;2220,33;A;
M01113;Agence Est;CHARBONNIER;Paulin;H;14/04/1968;Française;;02/10/1997;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3325,74;D;
M01114;Agence Ouest;CHARLOT;Prosper;H;17/09/1985;Française;;13/05/2015;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2879,66;A;
M01115;Centre de services;CHASSAING;Quirin;H;20/02/2002;Française;;24/12/2024;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2677,12;B;
M01116;Siège;CHATELAIN;Rémi;H;23/07/1976;Française;;07/07/2008;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;5930,44;J;
M01117;Agence Nord;CHAUMET;Sacha;H;26/12/1993;Portugaise;;18/02/2015;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;5603,38;K;
M01118;Agence Sud;CHAVANNE;Sylvain;H;01/05/1967;Espagnole;;01/09/1990;;CDI;Agent de maîtrise;Réseau;Superviseur(e) back-office;Temps plein;5004,48;F;
M01119;Agence Est;CHERRIER;Tanguy;H;04/10/1984;Italienne;;12/04/2008;;CDI;Technicien;Back-office;Technicien(ne) des métiers de la banque;90 %;3652,68;F;
M01120;Agence Ouest;CHEVROT;Adeline;F;07/03/2001;Marocaine;Carte de séjour pluriannuelle;23/11/2024;;CDD accroissement;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2316,53;C;

M01121;Centre de services;CHOLLET;Agathe;F;10/08/1975;Algérienne;Carte de séjour pluriannuelle;06/06/2001;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2953,77;D;
M01122;Siège;CLAVEL;Alexia;F;13/01/1992;Tunisienne;Carte de résident;17/01/2019;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2528,14;A;
M01123;Agence Nord;CLERC;Alix;F;16/06/1966;Roumaine;;28/08/1994;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3217,23;B;
M01124;Agence Sud;COLLOMB;Ambre;F;19/11/1983;Allemande;;11/03/2012;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;5356,44;J;
M01125;Agence Est;COMBAZ;Ana;F;22/04/2000;Belge;;22/10/2024;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;4792,98;K;
M01126;Agence Ouest;CONSTANT;Anouk;F;25/09/1974;Sénégalaise;Carte de séjour pluriannuelle;05/05/2005;;CDI;Agent de maîtrise;Réseau;Animateur(rice) commercial(e);Temps plein;4140,03;F;
M01127;Centre de services;CORBIN;Ariane;F;28/02/1991;Ivoirienne;Carte de séjour pluriannuelle;16/12/2023;;CDI;Technicien;Back-office;Contrôleur(se) de premier niveau;Temps plein;3322,18;F;
M01128;Siège;CORNU;Adrien;H;03/07/1965;Comorienne;Carte de résident;27/07/1987;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;3751,34;C;
M01129;Agence Nord;COSTES;Aimé;H;06/12/1982;Malienne;Carte de séjour pluriannuelle;10/02/2005;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3305,26;D;
M01130;Agence Sud;COUDERC;Alban;H;09/05/1999;Turque;Carte de séjour pluriannuelle;21/09/2023;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2399,18;A;
M01131;Agence Est;COULON;Aldric;H;12/10/1973;Polonaise;;04/04/1998;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3116,68;B;
M01132;Agence Ouest;COURBET;Amaury;H;15/03/1990;Française;;15/11/2016;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;5245,80;J;
M01133;Centre de services;CREPIN;Anatole;H;18/08/1964;Française;;26/06/1991;;CDI;Agent de maîtrise;Contrôle interne;Superviseur(e) back-office;Temps plein;4662,30;G;
M01134;Siège;CRETIN;Cassandre;F;21/01/1981;Française;;09/01/2009;;CDI;Technicien;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3615,38;E;
M01135;Agence Nord;CROIZET;Charlène;F;24/06/1998;Française;;20/08/2024;;CDI;Ouvrier;Back-office;Agent de sécurité;Temps plein;2197,39;B;
M01136;Agence Sud;DABRIGEON;Clémence;F;27/11/1972;Française;;03/03/2002;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;3082,84;C;
M01137;Agence Est;DAGUET;Constance;F;02/04/1989;Française;;14/10/2020;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2657,22;D;
M01138;Agence Ouest;DALIBARD;Cyrielle;F;05/09/1963;Française;;25/05/1995;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;50 %;3346,31;A;
M01139;Centre de services;DAMIEN;Diane;F;08/02/1980;Française;;08/12/2002;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;6015,16;I;
M01140;Siège;DANTAN;Dorothée;F;11/07/1997;Française;;19/07/2020;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;5149,47;J;
M01141;Agence Nord;DARBOIS;Edwige;F;14/12/1971;Française;;02/02/1995;;CDI;Agent de maîtrise;Contrôle interne;Animateur(rice) commercial(e);Temps plein;4191,21;G;
M01142;Agence Sud;DAUPHIN;Célestin;H;17/05/1988;Française;;13/09/2013;;CDI;Technicien;Réseau;Contrôleur(se) de premier niveau;Temps plein;3501,88;E;
M01143;Agence Est;DEBAT;César;H;20/10/1962;Française;;24/04/1988;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3419,28;B;
M01144;Agence Ouest;DECHAMPS;Corentin;H;23/03/1979;Française;;07/11/2006;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2973,20;C;
M01145;Centre de services;DEFFONTAINES;Cyprien;H;26/08/1996;Française;;18/06/2024;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2527,12;D;
