Matricule;Établissement;Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Service;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Absence longue en cours;Mandat;Bénéficiaire obligation emploi;Observations
M050044;Siège;PAGANO;Muriel;F;01/04/1971;Française;;01/09/1997;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;5 240;J;;;;Groupe cadres 50+ — écart marqué en faveur des hommes
M050045;Siège;QUÉRÉ;Solange;F;02/04/1971;Française;;01/09/1997;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;5 180;J;;;;Groupe cadres 50+ — écart marqué en faveur des hommes
M050046;Siège;ROBIN;Nicole;F;03/04/1971;Française;;01/09/1997;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;5 300;J;;;;Groupe cadres 50+ — écart marqué en faveur des hommes
M050047;Siège;SALVADOR;Guy;H;04/04/1971;Française;;01/09/1997;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;6 640;J;;;;Groupe cadres 50+ — écart marqué en faveur des hommes
M050048;Siège;TREMBLAY;Michel;H;05/04/1971;Française;;01/09/1997;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;6 720;J;;;;Groupe cadres 50+ — écart marqué en faveur des hommes
M050049;Siège;VIALLET;Roger;H;06/04/1971;Française;;01/09/1997;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;6 580;J;;;;Groupe cadres 50+ — écart marqué en faveur des hommes
M050050;Agence Nord;WALTER;Alix;F;01/09/1991;Française;;01/09/2017;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;3 180;D;;;;Groupe employés 30-39 — femmes mieux rémunérées
M050051;Agence Nord;YAHYAOUI;Sana;F;02/09/1991;Française;;01/09/2017;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;3 240;D;;;;Groupe employés 30-39 — femmes mieux rémunérées
M050052;Agence Nord;ZANOTTI;Chiara;F;03/09/1991;Française;;01/09/2017;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;3 150;D;;;;Groupe employés 30-39 — femmes mieux rémunérées
M050053;Agence Nord;ALBERTINI;Enzo;H;04/09/1991;Française;;01/09/2017;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;2 640;D;;;;Groupe employés 30-39 — femmes mieux rémunérées
M050054;Agence Nord;BRUNI;Marco;H;05/09/1991;Française;;01/09/2017;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;2 610;D;;;;Groupe employés 30-39 — femmes mieux rémunérées
M050055;Agence Nord;CANALI;Luca;H;06/09/1991;Française;;01/09/2017;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;2 670;D;;;;Groupe employés 30-39 — femmes mieux rémunérées
M050056;Agence Est;DUFRESNE;Irène;F;01/06/1979;Française;;01/09/2004;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 460;F;;;;Groupe TAM 40-49 — trois femmes et trois hommes, le seuil pile
M050057;Agence Est;ELOI;Josette;F;02/06/1979;Française;;01/09/2004;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 440;F;;;;Groupe TAM 40-49 — trois femmes et trois hommes, le seuil pile
M050058;Agence Est;FAYOLLE;Karine;F;03/06/1979;Française;;01/09/2004;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 480;F;;;;Groupe TAM 40-49 — trois femmes et trois hommes, le seuil pile
M050059;Agence Est;GAUTIER;Léon;H;04/06/1979;Française;;01/09/2004;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 500;F;;;;Groupe TAM 40-49 — trois femmes et trois hommes, le seuil pile
M050060;Agence Est;HERMANN;Marcel;H;05/06/1979;Française;;01/09/2004;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 520;F;;;;Groupe TAM 40-49 — trois femmes et trois hommes, le seuil pile
M050061;Agence Est;IMBERT;Nabil;H;06/06/1979;Française;;01/09/2004;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 490;F;;;;Groupe TAM 40-49 — trois femmes et trois hommes, le seuil pile
M050062;Siège;JOUVENEL;Ségolène;F;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directrice générale;Forfait jours;12 400;K;;;;Comité de direction — dix plus hautes rémunérations
M050063;Siège;KESSEL;Armand;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur général adjoint;Forfait jours;10 900;K;;;;Comité de direction — dix plus hautes rémunérations
M050064;Siège;LAROCHE;Bertrand;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur des risques;Forfait jours;10 200;K;;;;Comité de direction — dix plus hautes rémunérations
M050065;Siège;MONTAGNIER;Christiane;F;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directrice des ressources humaines;Forfait jours;9 800;K;;;;Comité de direction — dix plus hautes rémunérations
M050066;Siège;NOUVELLON;Édouard;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur financier;Forfait jours;9 600;K;;;;Comité de direction — dix plus hautes rémunérations
M050067;Siège;ORSINI;Vincent;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur de la conformité;Forfait jours;9 300;K;;;;Comité de direction — dix plus hautes rémunérations
M050068;Siège;PELLERIN;Alain;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur des systèmes d’information;Forfait jours;9 100;K;;;;Comité de direction — dix plus hautes rémunérations
M050069;Siège;QUESNEL;Bernard;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur du réseau;Forfait jours;8 900;K;;;;Comité de direction — dix plus hautes rémunérations
M050070;Siège;ROUAULT;Philippe;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur juridique;Forfait jours;8 700;K;;;;Comité de direction — dix plus hautes rémunérations
M050071;Siège;SOULAGE;Étienne;H;01/01/1966;Française;;01/01/1994;;CDI;Cadre dirigeant;Direction;Directeur des opérations;Forfait jours;8 500;K;;;;Comité de direction — dix plus hautes rémunérations
M050072;Agence Nord;ABEL;Agnès;F;04/06/1977;Française;;12/08/1999;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;5833,34;I;;;;
M050073;Agence Sud;ACHARD;Aline;F;07/11/1994;Française;;23/03/2017;;CDI;Agent de maîtrise;Crédit;Superviseur(e) back-office;Temps plein;3486,31;F;;;;
M050074;Agence Est;ADAM;Alizée;F;10/04/1966;Française;;06/10/1990;;CDI;Technicien;Conformité;Gestionnaire de patrimoine junior;Temps plein;4201,73;F;;;;
M050075;Agence Ouest;AGNEL;Amandine;F;13/09/1983;Française;;17/05/2008;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2835,66;A;;;;
M050076;Centre de services clients;AILLAUD;Andréa;F;16/02/2000;Française;;28/12/2024;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2460,89;B;;;;
M050077;Siège;ALAIN;Anne-Sophie;F;19/07/1972;Française;;11/07/1999;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;3156,65;C;;;;
M050078;Agence Nord;ALARY;Annick;F;22/12/1989;Française;;22/02/2017;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2729,66;D;;;;
M050079;Agence Sud;ALBERT;Anthony;H;25/05/1961;Française;;05/09/1990;;CDI;Cadre;Marketing;Chef(fe) de projet;Temps plein;6850,84;H;;;;
M050080;Agence Est;ALIX;Antoine;H;28/10/1978;Française;;16/04/2008;;CDI;Cadre;Finance;Responsable des ressources humaines;Temps plein;5945,42;I;;;;
M050081;Agence Ouest;ALLAIN;Armand;H;03/03/1995;Française;;27/11/2024;;CDI;Agent de maîtrise;Réseau;Superviseur(e) back-office;Temps plein;3714,58;F;;;;
M050082;Centre de services clients;ALLEMAND;Arnaud;H;06/08/1967;Française;;10/06/1999;;CDI;Technicien;Back-office;Gestionnaire de patrimoine junior;Temps plein;4404,49;F;;;;
M050083;Siège;AMAR;Arthur;H;09/01/1984;Française;;21/01/2017;;CDI;Employé;Crédit;Gestionnaire back-office;Temps plein;2570,53;A;;;;
M050084;Agence Nord;AMIEL;Aurélien;H;12/06/2001;Française;;04/08/2022;;CDI;Employé;Conformité;Gestionnaire des moyens de paiement;Temps plein;2477,68;B;;;;
M050085;Agence Sud;ANCEL;Baptiste;H;15/11/1973;Française;;15/03/1995;;CDI;Employé;Ressources humaines;Chargé(e) de recouvrement amiable;Temps plein;3254,27;C;;;;
M050086;Agence Est;ANDRE;Camille;F;18/04/1990;Française;;26/10/2013;;CDI;Employé;Systèmes d’information;Assistant(e) commercial(e);Temps plein;2698,10;D;;;;
M050087;Agence Ouest;ANGE;Carine;F;21/09/1962;Française;;09/05/1986;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;6656,59;H;;;;
M050088;Centre de services clients;ANSELME;Caroline;F;24/02/1979;Française;;20/12/2004;;CDI;Agent de maîtrise;Contrôle interne;Animateur(rice) commercial(e);90 %;4117,18;G;;;;
M050089;Siège;ANTOINE;Cassandre;F;27/07/1996;Française;;03/07/2022;;CDI;Technicien;Marketing;Contrôleur(se) de premier niveau;Temps plein;3294,41;E;;;;
M050090;Agence Nord;ARAGON;Catherine;F;02/12/1968;Française;;14/02/1995;;CDI;Ouvrier;Finance;Agent d’entretien;Temps plein;2979,26;B;;;;
M050091;Agence Sud;ARBAULT;Cécile;F;05/05/1985;Française;;25/09/2013;;CDI;Employé;Réseau;Conseiller(ère) clientèle professionnels;Temps plein;2913,10;A;;;;
M050092;Agence Est;ARCHER;Céleste;F;08/10/2002;Française;;08/04/2024;;CDI;Employé;Back-office;Gestionnaire back-office;Temps plein;2668,89;B;;;;
M050093;Agence Ouest;ARDOUIN;Chloé;F;11/03/1974;Française;;19/11/2004;;CDI;Employé;Crédit;Gestionnaire des moyens de paiement;Temps plein;3234,10;C;;;;
M050094;Centre de services clients;ARGAUD;Christian;H;14/08/1991;Française;;02/06/2022;;CDI;Employé;Conformité;Chargé(e) de recouvrement amiable;Temps plein;2427,68;D;;;;
M050095;Siège;ARMAND;Christophe;H;17/01/1963;Portugaise;;13/01/1995;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;6315,39;H;;;;
M050096;Agence Nord;ARNAL;Claude;H;20/06/1980;Espagnole;;24/08/2013;;CDI;Agent de maîtrise;Systèmes d’information;Animateur(rice) commercial(e);Temps plein;3809,77;G;;;;
M050097;Agence Sud;ARNOUX;Clément;H;23/11/1997;Italienne;;07/03/2018;;CDI;Technicien;Juridique;Contrôleur(se) de premier niveau;Temps plein;3426,96;E;;;;
M050098;Agence Est;ARRIVE;Corentin;H;26/04/1969;Marocaine;Carte de résident;18/10/1991;;CDI;Employé;Contrôle interne;Chargé(e) d’accueil;Temps plein;3441,95;D;;;;
M050099;Agence Ouest;ARTAUD;Cyril;H;01/09/1986;Algérienne;Carte de séjour pluriannuelle;01/05/2009;;CDI;Employé;Marketing;Conseiller(ère) clientèle particuliers;Temps plein;2995,89;A;;;;
M050100;Centre de services clients;ASSIER;Diane;F;04/02/2003;Tunisienne;Carte de séjour pluriannuelle;12/12/2024;;CDI;Employé;Finance;Conseiller(ère) clientèle professionnels;Temps plein;2532,89;B;;;;
M050101;Siège;AUBERT;Dominique;F;07/07/1975;Roumaine;;23/07/2000;;CDI;Employé;Réseau;Gestionnaire back-office;Temps plein;3202,54;C;;;;
M050102;Agence Nord;AUBRY;Éliane;F;10/12/1992;Allemande;;06/02/2018;;CDI;Cadre;Back-office;Chargé(e) d’affaires entreprises;Temps plein;5201,27;K;;;;
M050103;Agence Sud;AUCLAIR;Élodie;F;13/05/1964;Belge;;17/09/1991;;CDI;Cadre;Crédit;Ingénieur patrimonial;Temps plein;6611,42;H;;;;
M050104;Agence Est;AUDOUIN;Émeline;F;16/10/1981;Sénégalaise;Carte de résident;28/04/2009;;CDI;Agent de maîtrise;Conformité;Animateur(rice) commercial(e);Temps plein;4146,00;G;;;;
M050105;Agence Ouest;AUGE;Émilie;F;19/03/1998;Ivoirienne;Carte de séjour pluriannuelle;11/11/2024;;CDI;Technicien;Ressources humaines;Contrôleur(se) de premier niveau;70 %;2955,39;E;;;;
M050106;Centre de services clients;AUGER;Emma;F;22/08/1970;Comorienne;Carte de séjour pluriannuelle;22/06/2000;;CDI;Employé;Systèmes d’information;Chargé(e) de clientèle à distance;Temps plein;2937,54;D;;;;
M050107;Siège;AULAGNIER;Estelle;F;25/01/1987;Malienne;Carte de résident;05/01/2018;;CDI;Employé;Juridique;Chargé(e) d’accueil;Temps plein;2510,55;A;;;;
M050108;Agence Nord;AUMONT;Émile;H;28/06/2004;Turque;Carte de séjour pluriannuelle;16/08/2024;18/04/2025;CDD accroissement;Employé;Contrôle interne;Conseiller(ère) clientèle particuliers;Temps plein;2495,34;B;;;;
M050109;Agence Sud;AURIOL;Emmanuel;H;03/11/1976;Polonaise;;27/03/2009;;CDI;Employé;Marketing;Conseiller(ère) clientèle professionnels;Temps plein;2945,89;C;;;;
M050110;Agence Est;AUTHIER;Éric;H;06/04/1993;Camerounaise;Carte de résident;10/10/2014;;CDI;Cadre;Finance;Responsable des ressources humaines;Temps plein;5479,28;K;;;;
M050111;Agence Ouest;AVELINE;Ernest;H;09/09/1965;Congolaise (RDC);Carte de séjour pluriannuelle;21/05/1987;;CDI;Agent de maîtrise;Réseau;Responsable d’unité;Temps plein;4944,31;F;;;;
M050112;Centre de services clients;AVRIL;Étienne;H;12/02/1982;Haïtienne;Carte de séjour pluriannuelle;04/12/2005;;CDI;Technicien;Back-office;Chargé(e) d’études;Temps plein;4045,27;F;;;;
M050113;Siège;AYME;Eugène;H;15/07/1999;Française;;15/07/2023;;CDI;Technicien;Crédit;Contrôleur(se) de premier niveau;Temps plein;3460,61;E;;;;
M050114;Agence Nord;AZAM;Geneviève;F;18/12/1971;Française;;26/02/1996;;CDI;Employé;Conformité;Opérateur(rice) de saisie;Temps plein;3385,98;D;;;;
M050115;Agence Sud;BABIN;Ghislaine;F;21/05/1988;Française;;09/09/2014;;CDI;Employé;Ressources humaines;Chargé(e) de clientèle à distance;Temps plein;2958,99;A;;;;
M050116;Agence Est;BACH;Gwenaëlle;F;24/10/1960;Française;;20/04/1987;;CDI;Employé;Systèmes d’information;Chargé(e) d’accueil;Temps plein;3226,97;B;;;;
M050117;Agence Ouest;BACHELIER;Hélène;F;27/03/1977;Française;;03/11/2005;;CDI;Employé;Juridique;Conseiller(ère) clientèle particuliers;Temps plein;2799,99;C;;;;
M050118;Centre de services clients;BADIN;Ingrid;F;02/08/1994;Française;;14/06/2023;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;4676,10;K;;;;
M050119;Siège;BAILLARD;Irène;F;05/01/1966;Française;;25/01/1996;;CDI;Agent de maîtrise;Marketing;Responsable d’unité;Temps plein;4296,86;F;;;;
M050120;Agence Nord;BAILLY;Isabelle;F;08/06/1983;Française;;08/08/2014;;CDI;Technicien;Finance;Chargé(e) d’études;Temps plein;3455,49;F;;;;
M050121;Agence Sud;BALAND;Jeanne;F;11/11/2000;Française;;19/03/2024;;CDI;Employé;Réseau;Chargé(e) de recouvrement amiable;Temps plein;2475,89;C;;;;
M050122;Agence Est;BALLU;Gaël;H;14/04/1972;Française;;02/10/2005;;CDI;Employé;Back-office;Assistant(e) commercial(e);50 %;3133,57;D;;;;
M050123;Agence Ouest;BANCEL;Gaspard;H;17/09/1989;Française;;13/05/2010;;CDI;Employé;Crédit;Opérateur(rice) de saisie;Temps plein;3040,72;A;;;;
M050124;Centre de services clients;BANDET;Georges;H;20/02/1961;Française;;24/12/1986;;CDI;Employé;Conformité;Chargé(e) de clientèle à distance;Temps plein;3735,80;B;;;;
M050125;Siège;BARADAT;Gérald;H;23/07/1978;Française;;07/07/2001;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;6329,25;J;;;;
M050126;Agence Nord;BARANGER;Gilles;H;26/12/1995;Française;;18/02/2019;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;5423,83;K;;;;
M050127;Agence Sud;BARAT;Grégoire;H;01/05/1967;Française;;01/09/1992;;CDI;Agent de maîtrise;Juridique;Responsable d’unité;Temps plein;4485,86;F;;;;
M050128;Agence Est;BARBAROUX;Guillaume;H;04/10/1984;Française;;12/04/2010;;CDI;Technicien;Contrôle interne;Chargé(e) d’études;Temps plein;3598,92;F;;;;
M050129;Agence Ouest;BARBE;Laure;F;07/03/2001;Française;;23/11/2024;;CDI;Employé;Marketing;Gestionnaire des moyens de paiement;Temps plein;2339,89;C;;;;
M050130;Centre de services clients;BARDET;Léa;F;10/08/1973;Française;;06/06/2001;;CDI;Employé;Finance;Chargé(e) de recouvrement amiable;Temps plein;2983,43;D;;;;
M050131;Siège;BARILLET;Lucie;F;13/01/1990;Française;;17/01/2019;;CDI;Employé;Réseau;Assistant(e) commercial(e);Temps plein;2556,44;A;;;;
